timestamp,method,chosen_path,path_a_bytes,path_b_bytes,path_switches
08:41:01,round_robin,A,0,0,10
08:41:03,round_robin,B,0,0,11
08:41:05,round_robin,A,0,0,12
08:41:08,round_robin,B,0,0,13
08:41:10,round_robin,A,0,0,14
08:41:12,round_robin,B,0,0,15
08:41:14,round_robin,A,0,0,16
08:41:16,round_robin,B,0,0,17
08:41:19,round_robin,A,0,0,18
08:41:21,round_robin,B,0,0,19
08:41:23,round_robin,A,0,0,20
08:41:25,round_robin,B,0,0,21
08:41:27,round_robin,A,0,0,22
08:41:30,round_robin,B,0,0,23
08:41:32,round_robin,A,0,0,24
08:41:34,round_robin,B,0,0,25
08:41:36,round_robin,A,0,0,26
08:41:38,round_robin,B,0,0,27
08:49:10,round_robin,A,0,0,0
08:49:12,round_robin,B,0,0,1
08:49:14,round_robin,A,0,0,2
08:49:16,round_robin,B,0,0,3
08:49:18,round_robin,A,0,0,4
08:49:20,round_robin,B,0,0,5
08:49:22,round_robin,A,0,0,6
08:49:24,round_robin,B,0,0,7
08:49:26,round_robin,A,0,0,8
08:49:28,round_robin,B,0,0,9
08:49:30,round_robin,A,0,0,10
08:49:32,round_robin,B,0,0,11
08:49:34,round_robin,A,0,0,12
08:49:36,round_robin,B,0,0,13
08:49:38,round_robin,A,0,0,14
08:49:40,round_robin,B,0,0,15
08:49:43,round_robin,A,0,0,16
08:49:45,round_robin,B,0,0,17
08:49:47,round_robin,A,0,0,18
08:49:49,round_robin,B,0,0,19
08:49:51,round_robin,A,0,0,20
08:49:53,round_robin,B,0,0,21
08:49:55,round_robin,A,0,0,22
08:49:57,round_robin,B,0,0,23
08:49:59,round_robin,A,0,0,24
08:50:01,round_robin,B,0,0,25
08:50:03,round_robin,A,0,0,26
08:50:05,round_robin,B,0,0,27
08:50:07,round_robin,A,0,0,28
08:50:09,round_robin,B,0,0,29
09:01:21,least_utilized,A,0,0,0
09:01:23,least_utilized,A,0,0,0
09:01:25,least_utilized,A,0,0,0
09:01:27,least_utilized,A,0,0,0
09:01:29,least_utilized,A,0,0,0
09:01:31,least_utilized,A,0,0,0
09:01:33,least_utilized,A,0,0,0
09:01:35,least_utilized,A,0,0,0
09:01:37,least_utilized,A,0,0,0
09:01:39,least_utilized,A,0,0,0
09:01:41,least_utilized,A,0,0,0
