run,method,completion_time,path_switches,fairness_index
1,weighted_history,31.5,0,0.94
2,weighted_history,31.2,0,0.93
3,weighted_history,31.7,0,0.95
4,weighted_history,31.3,0,0.94
5,weighted_history,31.6,0,0.93
6,weighted_history,31.1,0,0.95
7,weighted_history,31.8,0,0.94
8,weighted_history,31.4,0,0.93
9,weighted_history,31.2,0,0.95
10,weighted_history,31.5,0,0.94
